distanza_calcolata,distanza_reale,errore,tag_center_x,tag_center_y
0.36,0.27,0.09,617,314
0.33,0.25,0.08,594,330
0.31,0.22,0.09,576,347
0.28,0.2,0.08,556,369
0.26,0.18,0.08,540,390
0.24,0.15,0.09,526,412
0.76,0.59,0.17,30,65
0.77,0.54,0.23,74,54
0.73,0.51,0.22,108,62
0.71,0.49,0.22,134,71
0.68,0.46,0.22,166,84
0.63,0.4,0.23,204,103
0.59,0.37,0.22,235,121
0.55,0.33,0.22,265,142
0.52,0.29,0.23,296,166
0.48,0.25,0.23,327,193
0.39,0.21,0.18,357,223
0.3,0.18,0.12,400,274
0.26,0.17,0.09,430,315
0.24,0.15,0.09,460,362
0.24,0.15,0.09,490,416
0.45,0.37,0.08,21,242
0.45,0.36,0.09,56,224
0.45,0.35,0.1,82,213
0.46,0.35,0.11,116,200
0.48,0.34,0.14,145,192
0.48,0.34,0.14,181,183
0.5,0.33,0.17,217,177
0.52,0.33,0.19,252,172
0.53,0.33,0.2,288,170
0.5,0.33,0.17,323,170
0.49,0.31,0.18,351,171
0.45,0.27,0.18,373,182
0.39,0.26,0.13,345,207
0.36,0.26,0.1,329,224
0.35,0.26,0.09,359,227
0.35,0.27,0.08,392,232
0.33,0.27,0.06,425,238
0.33,0.28,0.05,458,246
0.31,0.28,0.03,491,257
0.31,0.3,0.01,518,268
0.31,0.3,0.01,552,283
0.31,0.31,0.0,586,301
0.36,0.3,0.06,599,299
0.36,0.29,0.07,564,280
0.36,0.28,0.08,530,264
0.36,0.28,0.08,489,248
0.36,0.27,0.09,456,238
0.36,0.23,0.13,419,230
0.33,0.21,0.12,416,249
0.28,0.2,0.08,448,290
0.24,0.19,0.05,480,335
0.24,0.18,0.06,512,388
0.26,0.19,0.07,539,435
0.52,0.43,0.09,49,171
0.52,0.42,0.1,89,157
0.53,0.41,0.12,128,146
0.54,0.41,0.13,164,137
0.57,0.41,0.16,198,129
0.58,0.41,0.17,232,124
0.6,0.4,0.2,265,120
0.62,0.41,0.21,299,118
0.62,0.41,0.21,333,117
0.62,0.41,0.21,360,118
0.6,0.41,0.19,397,122
0.58,0.42,0.16,436,128
0.55,0.41,0.14,474,136
0.54,0.39,0.15,500,144
0.52,0.35,0.17,498,158
0.48,0.31,0.17,466,175
0.45,0.27,0.18,434,194
0.41,0.23,0.18,403,217
0.36,0.2,0.16,373,244
0.3,0.16,0.14,343,274
0.26,0.13,0.13,320,301
0.22,0.1,0.12,297,332
0.19,0.08,0.11,269,375
0.19,0.08,0.11,242,424
0.48,0.39,0.09,608,217
0.48,0.38,0.1,569,200
0.49,0.37,0.12,530,186
0.52,0.37,0.15,485,172
0.53,0.36,0.17,455,164
0.54,0.35,0.19,426,158
0.54,0.29,0.25,390,158
0.46,0.24,0.22,379,189
0.38,0.2,0.18,382,229
0.28,0.16,0.12,386,273
0.22,0.11,0.11,389,322
0.19,0.07,0.12,393,377
0.48,0.39,0.09,602,213
0.49,0.38,0.11,563,196
0.5,0.37,0.13,525,182
0.5,0.37,0.13,487,170
0.53,0.36,0.17,450,161
0.55,0.36,0.19,405,153
0.57,0.36,0.21,369,148
0.58,0.36,0.22,332,146
0.55,0.36,0.19,296,145
0.55,0.36,0.19,293,146
0.55,0.36,0.19,289,146
0.54,0.36,0.18,284,147
0.54,0.36,0.18,278,148
0.53,0.36,0.17,272,148
0.53,0.36,0.17,266,149
0.52,0.36,0.16,255,151
0.52,0.34,0.18,244,153
0.48,0.3,0.18,215,163
0.42,0.26,0.16,199,192
0.35,0.23,0.12,193,232
0.28,0.19,0.09,187,276
0.22,0.15,0.07,180,326
0.19,0.12,0.07,171,381
0.22,0.12,0.1,163,442
0.72,0.57,0.15,24,82
0.73,0.57,0.16,69,69
0.76,0.56,0.2,113,57
0.78,0.56,0.22,156,49
0.78,0.53,0.25,207,41
0.79,0.5,0.29,247,42
0.76,0.47,0.29,276,55
0.71,0.43,0.28,311,74
0.68,0.4,0.28,339,91
0.62,0.37,0.25,367,110
0.55,0.34,0.21,402,137
0.48,0.32,0.16,438,168
0.41,0.3,0.11,475,203
0.36,0.28,0.08,512,243
0.31,0.27,0.04,549,289
0.3,0.27,0.03,589,341
0.62,0.49,0.13,53,123
0.63,0.48,0.15,91,111
0.65,0.48,0.17,129,101
0.66,0.47,0.19,168,92
0.68,0.47,0.21,209,86
0.69,0.47,0.22,248,82
0.7,0.47,0.23,288,79
0.7,0.47,0.23,320,79
0.69,0.47,0.22,359,81
0.68,0.47,0.21,399,84
0.65,0.48,0.17,441,90
0.64,0.48,0.16,477,96
0.63,0.49,0.14,513,104
0.62,0.5,0.12,550,114
0.59,0.51,0.08,607,133
0.41,0.32,0.09,595,239
0.38,0.3,0.08,568,254
0.35,0.26,0.09,547,268
0.31,0.24,0.07,521,288
0.3,0.19,0.11,497,311
0.26,0.15,0.11,474,337
0.24,0.1,0.14,452,367
0.22,0.07,0.15,431,401
0.78,0.61,0.17,55,49
0.81,0.6,0.21,109,36
0.84,0.6,0.24,154,27
0.86,0.59,0.27,207,20
0.87,0.59,0.28,250,16
0.87,0.57,0.3,292,14
0.85,0.52,0.33,317,19
0.79,0.49,0.3,290,39
0.75,0.43,0.32,288,60
0.68,0.39,0.29,287,88
0.62,0.34,0.28,285,119
0.54,0.3,0.24,284,152
0.46,0.24,0.22,282,196
0.35,0.16,0.19,279,254
0.26,0.12,0.14,277,301
0.22,0.07,0.15,274,353
0.19,0.03,0.16,272,411
0.71,0.56,0.15,58,77
0.73,0.55,0.18,89,68
0.75,0.55,0.2,123,59
0.76,0.55,0.21,166,51
0.78,0.53,0.25,208,45
0.78,0.5,0.28,246,45
0.75,0.45,0.3,283,63
0.69,0.42,0.27,318,83
0.65,0.39,0.26,346,100
0.58,0.37,0.21,381,126
0.54,0.33,0.21,409,148
0.46,0.31,0.15,445,180
0.41,0.28,0.13,481,217
0.35,0.27,0.08,518,258
0.31,0.26,0.05,556,306
0.31,0.26,0.05,595,361
0.28,0.22,0.06,590,408
0.26,0.21,0.05,560,388
0.24,0.21,0.03,537,373
0.22,0.19,0.03,508,358
0.22,0.19,0.03,479,344
