YAW, real_orientation
59.77995944788136,65.33201418394887
37.8788514902793,32.089118722102285
30.88468882000038,26.18135605216684
24.93857398103895,18.58546764896529
18.816402384419884,14.515473988616185
13.109554164189793,7.806185591396455
5.907682852126717,1.8984002874346155
0.42699882519355475,-4.009559397309869
-4.240024340189324,-9.917325969545859
-10.401630689382959,-17.512951878662292
-16.30603215115463,-20.888989913123286
-79.29962208740612,-84.7615157824129
-84.33491177185026,-90.66936569738704
-89.45840519015921,-95.73329010179052
-95.27697898480235,-102.48505842924696
-101.1465569208065,-107.41496464082097
-107.16632489521633,-107.3663537637287
-107.09918140974521,-107.3681255872785
-106.97830254713325,-107.36863177827365
-106.74679710504923,-107.36885928491036
-107.26372840380311,-107.36905397705584
-106.71459844123197,-107.36946220842499
-106.99191509524378,-107.36979217293457
-107.66042444992979,-107.37112120762013
-107.09469721261746,-107.37155218966961
-107.49261881159391,-107.37177671683338
-108.2688683723528,-107.3719713548573
0.13690144075684532,3.4304803088073617
3.9531931255775556,3.8213803946786653
4.17491819323683,3.822525148478395
3.7834988424169542,3.8219344077166104
4.179810821362512,3.821144478568402
3.385059735255663,3.8220867158074725
3.364408711875122,3.8219888395548023
3.049250978792817,3.8219787254006032
3.8596354063409346,3.823197232632622
3.2946603791601485,3.8229228411864886
3.8541141593402575,3.8228991800649803
3.7424294930055084,3.822634288813
3.494367859422285,3.822394599495379
3.4668696251506494,3.8221579987204852
3.7349437140901216,3.8219833558641705
73.13149418698106,78.25213295180362
78.5965608987106,84.9382810817931
85.04261529216195,89.39591631481885
90.43778942476321,96.08210234868903
96.45904676266179,101.28270426050466
102.24115977906601,108.71178192661348
108.47258908682292,113.16946140278048
113.62392917712245,119.11261573940983
156.88866321073328,161.33911338306964
162.18477844627282,166.53946451824334
167.68059350271943,171.74433810401766
172.94541245128622,176.6931968005429
177.89103213384482,-177.39964201147572
-176.86587005873483,-171.18061975962095
-171.12495448882137,-163.73897370737413
-164.36015194178785,-158.53870040452884
-160.23043274959178,-154.08088245687523
-154.09420270265588,-147.39473578897272
-125.63058999108195,-119.16430570449346
-119.33613831941476,-113.96397137795587
-114.35198679177324,-109.50650529024124
-109.5461335737186,-105.79196547074007
-105.0240853548274,-101.32739663547133
-99.94026570012694,-95.37264861020721
-95.47061814341806,-90.16618229657227
-89.61839764176361,-84.96023767008252
-84.5280866473213,-79.75428890485912
-3.624714713329639,2.1576000776147533
2.6345380383115513,9.916674779545097
8.972403416247543,14.136002446043411
14.589563846480441,19.390228133048762
19.445236522823887,24.59055189294411
136.42259539239558,144.75259592511733
143.9000850832764,149.81575688086988
149.96006808314985,154.87895271832375
155.7688298025091,160.7441013288758
161.91732544827514,163.1654840075563
163.3166454817521,163.16430185659715
163.7205076489282,163.1639886165108
163.19945785465595,163.16429599194228
163.8602534736413,166.92915447358916
167.9552834496103,172.30450740151522
172.62417933399243,178.2925075997652
178.00654317478916,-178.68319506649644
-178.28834907734327,-171.11580855685293
-171.9802768254912,-166.89649675874122
-166.26070386449982,-161.09022530019277
-161.04438290241205,-161.11460921487568
-161.42554890667077,-164.2183430259132
161.88291796426768,158.80916227624857
159.46283848617887,163.31106314755576
165.20159602237837,168.5117861636273
170.61919953349474,176.68383170658683
176.20946812032844,-178.3212020281075
-177.63684233235222,-175.12708523612264
-174.04169804505108,-168.37611187999883
-168.1173510586539,-160.7817442970463
-161.77703441482458,-155.71837265283008
-156.17066397202618,-150.78304460032422
158.4166665557499,151.37904846348684
151.4096280422205,145.47104430523436
145.43752949644275,145.49284099565082
144.98571048950663,149.9510998953354
150.55843686381994,147.52486884297443
147.29365631473482,139.08450686571118
114.06968289733011,108.70114361099907
107.96807671265081,101.10510194190452
101.62711244634006,96.04097492965512
94.78601708153853,90.13287644016694
58.80737471514491,51.30970627695693
52.09539200634001,47.08977182345086
46.33110386062217,40.3378039193969
40.224684577577115,35.27360660737766
34.025846836091155,30.209866475303258
28.648887412609994,23.457680163012935
-8.277615672998342,-14.52215466313414
-14.965075929008432,-20.430831641782206
-20.945800871314127,-27.183012633382653
-27.60684501729894,-33.9349626258999
-69.65739385014611,-76.53585795000322
-75.94542183496819,-80.75558050105137
-81.92324569581506,-86.66340093114455
-93.32433836519127,-100.16697941556573
-98.86373074401669,-105.23091582276264
-103.96987621161847,-109.4507836343788
-109.98706624505158,-115.35872513763236
-116.05256154373542,-121.26638144557495
-122.070953730752,-128.86221224162674
-128.37191800195623,-134.7698167109068
-133.89964306467195,-138.1458694405104
-139.7391567878447,-145.7415286481462
-146.04307554536962,-150.80520476499876
-165.37956631620466,-169.37262401437687
-170.51207154628287,-176.12441495013917
-176.01254362527493,177.96775375775943
178.0671289632178,172.9040684979233
172.36704281237775,167.84014612995873
166.29358946318564,160.2444697098876
160.61421271687584,155.180658165213
155.016145125597,147.58500755392745
148.7140813496299,144.20910115850893
142.76382981429495,135.7692007451482
137.017465844214,130.36429474897332
130.90861823173358,124.80695318282955
125.42086523856149,120.83728568456465
88.30933619820566,82.8297960987936
82.42808575154356,75.2336765702523
76.5282253962098,71.85823858089387
70.32715831288405,64.26249645346206
64.61435674196466,59.19856861720505
58.081612232125025,53.29027038248962
52.539037203206675,46.538391771890325
46.55451443472121,39.7868010098854
40.77991120333501,35.63294859126896
34.8173683316358,30.20879889592182
29.062364650169243,25.14473011275723
22.975340304223376,19.23690742147119
-50.108712521171626,-55.89238429434326
-93.86905754786046,-101.4682848461286
-99.880093062842,-106.53193290871262
-106.40374932430915,-113.28382457113058
-112.10773574533603,-118.3481749699574
-118.03888184311207,-123.41198657465007
-123.9137709981619,-130.16389241755684
-130.91212350915117,-137.76019790248176
-162.23037247352013,-166.45576343643236
-167.43713296416416,-173.20770795846076
-173.70070597980293,-179.11550463247482
156.0696858970571,151.34477320882104
149.75038105379957,143.7488612828048
143.35238275302507,136.9967833816457
136.1608680270726,129.400731681383
128.85336038353455,121.80472350763587
122.78608568224614,115.89701809392349
86.09348043937558,80.44876748651487
79.99490574033761,72.85323288483691
73.73311186697849,68.72648106567624
68.6844966888682,72.31591763748597
73.68151094436617,77.32057096692206
79.29303134443562,83.77157006592805
85.84979280143548,88.97045040678758
90.56137606911577,94.7014682247128
94.67777068983547,100.2503904910833
100.64965580516966,104.7121905511209
105.56530647167556,110.65365869968261
111.21410255561536,115.3677831346334
116.77937963069806,122.38051924934845
123.12296132523727,129.72178610551924
-92.9827542138323,-92.71907867696866
-91.97236971368481,-92.71908486352399
-92.16729438501835,-92.71921101231217
-91.94333344946921,-92.71935448005797
-93.94852233030763,-92.72222694662554
-93.48570551025432,-92.72237970132905
-92.54756216530082,-92.72182627579808
-22.85783324541969,-22.6406973291867
-22.759229590375973,-22.639578752077337
-22.386624447073718,-22.638623980868726
-22.0543162392985,-22.47356259299859
-14.867574902891363,-10.015677345155012
-9.441178233036403,-4.072297501522189
-4.560346677536593,-0.35773100859980544
1.0346959301503562,7.1364212128755575
6.414545749870553,12.273142694386038
11.2248107589637,12.672288686440952
12.10668908346331,12.670569400571344
12.272402022210436,12.67090700362159
11.922226252221904,12.670055442378056
12.273714752878098,12.670204959817719
12.459021096121713,12.671765812765063
12.082984220961489,12.67143624250596
12.673987475753131,12.671563865474434
12.518172200623676,12.671288840923472
64.64978793260548,68.69153121741647
68.77753671166009,68.66852893927178
69.50913955357562,73.13742571757807
72.74553528349294,77.59520428483029
78.02747861647599,83.53872339175155
82.86210780232393,87.99593286021506
87.67255577477322,92.32910610665868
92.47894885441546,92.66864283892025
92.44108432620132,92.66836306236567
92.22901312926325,92.66770709086848
92.20681276389206,92.66668890628355
92.51417272881763,92.66660827392685
92.17112262766264,92.66642384616227
91.84383746002182,92.66698192657356
92.61712731718373,92.66824692482967
92.66176254205126,92.66795141904367
92.84672159792974,88.92894648941525
90.10287892176156,83.33507030521905
84.85525982539735,76.63587268099108
77.34493538067426,76.56373496095317
76.93434867170085,76.56456579881863
76.39696787994347,76.56447491376748
76.70966657208905,76.56415956933238
76.58810712892424,81.02042649530658
82.16923077700696,88.44952211412529
87.892276977216,91.42114972765503
92.52008434079272,97.36445660099258
97.78620081130283,104.05058365245611
120.14706510866742,123.47720511856211
114.69046406124376,107.23125741134204
107.8475526921324,100.47927381337404
101.83952628793294,96.25914967622191
96.41957025267317,88.66388289671548
90.44337962255165,84.44372577956332
83.56144334439314,77.42460713920762
78.79450698016588,73.20478634413705
72.96512706957536,66.45294887444304
66.47666281720566,60.54519858797424
60.51643248535129,54.63729670050256
-79.6966637868028,-86.02595426603719
-85.05639309508824,-90.48211231713972
-91.15981495890384,-97.349830507475
-96.30019928821153,-104.00034073608074
-101.82423063708308,-109.16842203425556
-107.54918406562477,-113.50099457664902
-114.02810600066371,-121.09682350435926
-120.99114554192991,-127.00477169407434
-127.96023814353737,-132.06880456650134
-134.11389851288573,-140.50890511577404
-171.63721340424556,-176.80082272146817
-178.6788267357271,177.2912879368095
165.2410575836552,157.87892203150287
159.17512618404155,152.8149693141602
152.7930345042755,146.06323175385512
147.39914978443426,140.15495374626607
141.14917861074278,135.09115749021532
135.5692252777811,128.33939019552471
127.97803124693957,122.43141537753058
122.35397167295947,116.5238578824549
88.54510693533584,82.76441903274208
81.83460850198905,76.85643085237021
75.82372371846087,69.26015223769922
7.51547555135866,0.8840188034537537
0.037362084481915595,-5.867370689484183
-4.913565105368933,-10.873799231243819
-11.389290675310889,-17.625677746920747
-18.566179121225826,-24.37744464249157
-24.919715747643345,-31.12917842418872
-30.825764874126197,-36.1931017031117
-36.77702124688311,-42.94485284077085
-43.70805847152614,-47.753093977295435
-117.18323087742658,-123.69768473658219
-129.60410549006787,-135.49181746687566
